S2_B4,S2_B5,S2_B6,S2_B7,S2_B8,L8_B4,L8_B5,L8_B6,L8_B7,Year,Month,Predicted Soil Moisture
0.366,0.4103,0.4298,0.4503,0.4008,0.265066,0.441589,0.33834,0.245225,2022,8,0.18996473
0.3122,0.3277,0.2535,0.25845,0.24355,0.258508,0.188273,0.136311,0.10679,2023,6,0.14917345
0.2244,0.2702,0.3174,0.3416,0.34215,0.212706,0.302618,0.331823,0.274238,2021,6,0.105060674
0.04765,0.10975,0.28065,0.3259,0.3286,0.049301,0.328729,0.136834,0.068991,2023,12,0.11160564
0.16925,0.2015,0.22835,0.24645,0.2539,0.240234,0.315818,0.383825,0.327698,2019,5,0.07506482
0.1913,0.2214,0.2376,0.2598,0.2756,0.415753,0.476583,0.361014,0.257518,2020,4,0.08053458
0.2325,0.2753,0.3136,0.3372,0.3395,0.208196,0.339248,0.336951,0.280549,2022,10,0.11313005
0.24215,0.26935,0.27495,0.28945,0.2871,0.226718,0.286626,0.356298,0.321111,2020,4,0.07609707
0.1348,0.16755,0.21225,0.2384,0.25095,0.129313,0.248525,0.30985,0.25353,2020,10,0.11255883
0.2224,0.251,0.2663,0.2886,0.3242,0.16498,0.293433,0.276836,0.22262,2023,1,0.08157488
0.0943,0.1562,0.3074,0.3513,0.3392,0.320163,0.392529,0.43954,0.364108,2022,7,0.19738723
0.25665,0.3095,0.37045,0.39585,0.393,0.25419,0.369429,0.372976,0.322115,2022,10,0.114691466
0.1024,0.17385,0.366,0.4228,0.40235,0.30534,0.487885,0.193085,0.17411,2020,8,0.15264043
0.28125,0.3135,0.32735,0.33985,0.3567,0.256583,0.324714,0.388101,0.353919,2022,2,0.0930784
0.16525,0.1942,0.2219,0.24395,0.2593,0.151381,0.25804,0.353218,0.287259,2019,4,0.072493695
0.2689,0.306,0.326,0.3445,0.343,0.264736,0.334325,0.400724,0.350358,2022,6,0.07819266
0.2589,0.2821,0.2868,0.2984,0.2949,0.314498,0.362568,0.399019,0.359103,2019,6,0.08289281
0.23985,0.2696,0.27435,0.28415,0.2825,0.615306,0.651111,0.208031,0.224531,2023,3,0.094965905
0.1345,0.1716,0.22675,0.2522,0.2684,0.114669,0.240646,0.253406,0.18555,2022,3,0.084074356
0.1104,0.1571,0.2919,0.3259,0.3352,0.143778,0.410528,0.225288,0.170178,2023,12,0.10671486
0.15915,0.20775,0.2801,0.30545,0.3186,0.187489,0.300803,0.31271,0.278321,2023,2,0.09189534
0.16425,0.2105,0.2735,0.30375,0.3093,0.140423,0.305533,0.293996,0.219128,2023,10,0.11588187
0.0806,0.1439,0.2528,0.2811,0.2773,0.10448,0.354813,0.2048,0.115975,2023,7,0.1748858
0.0551,0.1199,0.2949,0.3359,0.3561,0.183391,0.254108,0.302315,0.25947,2022,1,0.12399108
0.2642,0.327,0.4168,0.448,0.4144,0.162821,0.278555,0.270099,0.201239,2022,7,0.1855368
0.2008,0.2421,0.30135,0.3242,0.3165,0.178153,0.305973,0.302508,0.2444,2019,10,0.12924396
0.255,0.2907,0.3083,0.3311,0.3313,0.222648,0.321235,0.371106,0.307636,2019,6,0.08206036
0.1266,0.1613,0.2104,0.2304,0.2469,0.245555,0.307265,0.35847,0.326804,2021,12,0.10084836
0.2209,0.2511,0.2633,0.2827,0.2956,0.200716,0.28796,0.345985,0.276025,2023,3,0.09470612
0.1446,0.1775,0.2144,0.235,0.2391,0.133726,0.229289,0.27531,0.216103,2020,5,0.07398776
0.0943,0.1493,0.3072,0.3751,0.3455,0.052079,0.184643,0.084405,0.049659,2020,8,0.15892391
0.1507,0.1634,0.1562,0.1631,0.154,0.231516,0.3148,0.384114,0.33768,2020,6,0.10722293
0.04795,0.10035,0.2583,0.30745,0.3225,0.279256,0.325278,0.371065,0.338038,2023,1,0.102320515
0.9287,0.925,0.8054,0.754,0.7515,0.172653,0.380415,0.29819,0.21822,2023,8,0.1316408
0.14165,0.18385,0.26415,0.30535,0.29325,0.187984,0.322541,0.279696,0.19512,2021,7,0.12796277
0.1569,0.2026,0.28295,0.31625,0.31845,0.080005,0.320864,0.17202,0.091101,2023,8,0.13837501
0.27645,0.29525,0.3,0.3092,0.31665,0.241059,0.284825,0.358126,0.335081,2020,2,0.11009163
