S2_B4,S2_B5,S2_B6,S2_B7,S2_B8,L8_B4,L8_B5,L8_B6,L8_B7,Year,Month,sm_surface
0.28075,0.2998,0.30225,0.31315,0.3339,0.002881,0.00361,0.012217,0.012341,2019,1,0.061788
0.15275,0.1801,0.2016,0.218,0.23215,0.142086,0.220571,0.250436,0.209159,2019,1,0.124076
0.0548,0.0566,0.0513,0.0542,0.0574,0.067561,0.258769,0.179624,0.112922,2019,1,0.047776
0.455,0.4853,0.4728,0.4791,0.4971,0.124005,0.256431,0.248154,0.191531,2019,1,0.077141
0.0216,0.0183,0.01465,0.014,0.0133,0.123414,0.268215,0.256088,0.177891,2019,1,0.104471
0.1267,0.1568,0.1961,0.219,0.2387,0.062446,0.022888,0.025555,0.029611,2019,1,0.186881
0.0699,0.0509,0.0187,0.0177,0.0162,0.119248,0.293666,0.240784,0.168748,2019,1,0.053262
0.1483,0.1674,0.1779,0.1872,0.1993,0.079441,0.216721,0.188657,0.129546,2019,1,0.075483
0.0961,0.1222,0.18285,0.2046,0.21405,0.017126,0.003857,0.009165,0.008807,2019,1,0.098108
0.111,0.1475,0.2422,0.27565,0.2914,0.14221,0.240028,0.250189,0.188754,2019,1,0.068613
0.084,0.1233,0.1725,0.1967,0.2171,0.194597,0.297681,0.241169,0.193745,2019,1,0.123663
0.14565,0.18425,0.25915,0.2862,0.3041,0.14089,0.226553,0.231695,0.178111,2019,1,0.082607
0.1168,0.155,0.1966,0.221,0.2461,0.035661,0.395801,0.141371,0.066076,2019,1,0.06945
0.0391,0.0343,0.0222,0.0215,0.0216,0.100121,0.254176,0.208196,0.151134,2019,1,0.150291
0.02505,0.0216,0.01725,0.0173,0.01635,0.244991,0.314168,0.384678,0.34604,2019,1,0.058729
0.02795,0.02235,0.01685,0.01615,0.0152,0.109045,0.220475,0.164774,0.12032,2019,1,0.119661
0.4794,0.5056,0.4966,0.5027,0.5191,0.13319,0.258563,0.270745,0.184258,2019,1,0.116728
0.14025,0.17905,0.2479,0.27585,0.29545,0.251261,0.29093,0.334655,0.29962,2019,1,0.020498
0.0483,0.0378,0.0226,0.0223,0.0213,0.069596,0.236329,0.163591,0.108729,2019,1,0.070984
0.1272,0.1568,0.1835,0.2045,0.2287,0.160882,0.247068,0.297214,0.224133,2019,1,0.153422
0.12925,0.1463,0.15535,0.16295,0.17075,0.10701,0.175897,0.114518,0.07819,2019,1,0.036571
0.0865,0.1257,0.176,0.201,0.2241,0.033049,-0.00377,0.007625,0.008849,2019,1,0.056783
0.0848,0.1139,0.1883,0.2085,0.2169,0.216226,0.263444,0.283478,0.243383,2019,1,0.094853
0.1081,0.0918,0.0443,0.0457,0.0387,0.141138,0.256349,0.22405,0.175403,2019,1,0.158188
0.27825,0.2959,0.2949,0.3022,0.3148,0.132406,0.148672,0.141908,0.113816,2019,1,0.175696
0.1325,0.164,0.2266,0.2619,0.2818,0.099049,0.158064,0.195918,0.162244,2019,1,0.094311
0.1226,0.1395,0.1613,0.1724,0.1869,0.002565,-0.00203,0.003912,0.00438,2019,1,0.023241
0.06095,0.10635,0.2507,0.30365,0.3179,0.102596,0.17477,0.219664,0.1795,2019,1,0.106926
0.1168,0.12245,0.0913,0.0956,0.09,-0.00098,-0.00287,0.004408,0.005068,2019,1,0.113302
0.0161,0.0126,0.0115,0.0118,0.0112,-0.00017,-0.00107,0.005095,0.005507,2019,1,0.101224
0.1693,0.1882,0.1972,0.2028,0.2026,0.128171,0.276108,0.216749,0.16773,2019,1,0.177254
0.10715,0.10895,0.07155,0.07325,0.0677,0.00075,-0.00112,0.004009,0.004298,2019,1,0.094975
0.1313,0.1319,0.1151,0.1164,0.1154,0.062034,0.289844,0.150845,0.090716,2019,1,0.046788
0.1337,0.1586,0.1874,0.2029,0.2168,0.088668,0.208705,0.193456,0.152014,2019,1,0.020541
0.01965,0.01955,0.0167,0.01565,0.01355,0.133273,0.226498,0.223981,0.168253,2019,1,0.020582
0.01775,0.01525,0.01325,0.013,0.0123,0.388706,0.433779,0.232039,0.149016,2019,1,0.149864
0.09415,0.1214,0.2028,0.2319,0.2499,0.117295,0.184423,0.182456,0.137191,2019,1,0.152806
0.2087,0.23405,0.25425,0.27165,0.29845,0.069954,-2.00E-05,0.008354,0.00922,2019,1,0.063525
0.0999,0.1267,0.17,0.1886,0.2014,0.002015,-0.00212,0.006497,0.006937,2019,1,0.049751
0.1139,0.1506,0.1888,0.2117,0.2366,0.094662,2.16E-01,0.228134,0.151519,2019,1,0.045928
0.07865,0.10915,0.1923,0.22075,0.2342,0.13726,0.208375,0.212473,0.1718,2019,1,0.100656
0.0819,0.1259,0.255,0.304,0.3179,0.138126,0.216213,0.220173,0.175815,2019,1,0.087629
0.1014,0.1099,0.10695,0.1105,0.1143,0.14342,0.264393,0.28455,0.190445,2019,1,0.120422
0.218,0.2296,0.2295,0.2387,0.2513,0.118546,0.190748,0.198736,0.154695,2019,1,0.054552
0.10635,0.1429,0.2286,0.25685,0.26745,0.119839,0.259058,0.242021,0.190761,2019,1,0.079792
0.1256,0.15835,0.19775,0.22125,0.2423,0.450788,0.499435,0.241141,0.126934,2019,1,0.067905
0.1449,0.1774,0.2057,0.22645,0.25225,0.120086,0.123098,0.020784,0.01681,2019,1,0.060106
0.1828,0.21885,0.27425,0.29905,0.3193,0.112592,0.077929,0.011956,0.009041,2019,1,0.091826
0.0948,0.1209,0.172,0.1935,0.2129,0.073914,0.014954,0.011214,0.011681,2019,1,0.052954
0.13145,0.17725,0.3006,0.33615,0.3563,0.19853,0.31645,0.341227,0.289816,2019,1,0.179556
0.0246,0.0224,0.0183,0.0173,0.0156,0.161048,0.21822,0.235958,0.206533,2019,1,0.101867
0.1337,0.163,0.2005,0.2203,0.2357,0.146473,0.158435,0.07544,0.05047,2019,1,0.082542
0.1609,0.1834,0.1957,0.2083,0.2255,0.105786,0.202614,0.184478,0.144094,2019,1,0.032775
0.1448,0.1708,0.19935,0.213,0.22455,0.102541,0.323353,0.232988,0.169023,2019,1,0.093294
0.1804,0.2131,0.2476,0.2645,0.2733,0.074959,0.266318,0.19314,0.130041,2019,1,0.125253
0.182,0.20015,0.21155,0.2222,0.239,0.118959,0.326061,0.246779,0.186733,2019,1,0.161271
0.1016,0.1388,0.2068,0.2343,0.2499,0.569381,0.631944,0.465954,0.343648,2019,1,0.02703
0.05385,0.1,0.25825,0.3275,0.3407,0.091225,0.226649,0.23362,0.141151,2019,1,0.074063
0.1162,0.13635,0.1565,0.1718,0.1848,0.125985,0.230966,0.219623,0.1586,2019,1,0.110418
0.09105,0.1286,0.22905,0.2645,0.2804,0.00328,0.003266,0.00823,0.00768,2019,1,0.185747
0.671,0.696,0.6791,0.6878,0.7147,0.442331,0.472554,0.123551,0.068799,2019,1,0.020511
0.1831,0.2176,0.2397,0.2605,0.2817,0.000145,0.000832,0.008697,0.008835,2019,1,0.070005
0.0774,0.10935,0.2337,0.2761,0.2924,0.099228,0.34208,0.217134,0.161996,2019,1,0.074496
0.1217,0.1543,0.1971,0.2201,0.2425,-0.00131,-0.0005,0.006511,0.006731,2019,1,0.053471
0.02595,0.02165,0.0188,0.01875,0.01785,0.00064,0.000929,0.006704,0.00658,2019,1,0.097074
0.0205,0.0186,0.0151,0.0146,0.0137,0.099998,0.045355,0.01164,0.008711,2019,1,0.089366
0.1461,0.1682,0.1851,0.1943,0.2062,-0.00087,-7.50E-05,0.008477,0.009055,2019,1,0.074567
0.2136,0.2393,0.2528,0.2638,0.2755,0.073419,0.013042,0.007323,0.007845,2019,1,0.020542
